"kommune","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"København",0.00927664859297852,0.0055602714895226,0.00892450596484837,0.00715000715000715,0.0126414037576573,0.0127545744108766,0.0207952580049063,0.0247310703574055,0.0251105516494697,0.0211740701054212,0.0237214156940886
"Frederiksberg",0.00103393370417089,0.00404932072644814,0.00399141845033179,0.00588068098285782,0.00584129209381115,0.00678347158694472,0.013399565471234,0.00856840922722469,0.00766210133129011,0.015390534821085,0.0249268970806769
"Dragør",0.0147449130050133,0.00729022380987096,0.00730353491089687,0.0071854566357692,0,0,0,0,0,0.0140154169586545,0
"Tårnby",0.00247628952777159,0.00244887963756581,0,0.00721639565091889,0.00476281196418365,0.00469781316797031,0.00933271115258983,0.00697512206463613,0.0185774330631865,0.0116322352503257,0.0139570587824792
"Albertslund",0.0108186080057699,0.0107913669064748,0.00358886017800747,0,0.0036064627813041,0.0107890383370496,0.0143472022955524,0.0143389733295096,0.0180225642504416,0.0179359328478674,0.0288485810104215
"Ballerup",0.002098547804919,0.00417275192989777,0.00833437513022461,0.0145195079961005,0.0041225213340479,0.00620411539654638,0.00829462508294625,0.016586842487197,0.0165648617869345,0.0227000701638532,0.0288053989547755
"Brøndby",0.0147950880307738,0.00293936098292231,0.00293392794272973,0.00876936568254896,0.00289184499710815,0.00285306704707561,0.00283109676688749,0.0955217171433388,0.0281388935787045,0.0169505890329689,0.0341977771444856
"Gentofte",0.00281483983561335,0.00976099506372535,0.00274672453099679,0.0054525627044711,0.00134622115721171,0.00533817327710458,0.0053085600530856,0.00527669678781083,0.0118728810205401,0.00798127061828243,0.0106908993719097
"Gladsaxe",0.00468004118436242,0.00153962217671783,0.00612529286556514,0,0.00150024003840614,0.00445454140496236,0.00736225226021144,0.00290803344238459,0.0129526221864026,0.0100457800548213,0.0115503450665589
"Glostrup",0,0.00467639356528245,0.0046189376443418,0.0182907311719786,0.0045318589685489,0.0134186160933936,0.0178086460976804,0.0177556818181818,0.00441247848916737,0.0353747512712801,0.0259425804219993
"Herlev",0.0112968820605513,0.00375982253637628,0,0.0111284219897619,0.00360932649967516,0.0106579508313202,0.0140731098054393,0.0211222981060339,0.0139997200055999,0.0243173765024665,0.0103616205574552
"Hvidovre",0.00804440511624165,0.00399353048062139,0.00395256916996047,0.00779104419469819,0.00385787585355503,0.00381825124093165,0.01892828074426,0.0132165244316895,0.0150144514094816,0.0149767859817283,0.024286808526538
"Høje-Taastrup",0.0125881168177241,0.00418821854124348,0.00207982363095609,0.0123785356192362,0.00204888643022517,0.0162502539102173,0.0140112089671737,0.0139314572304263,0.0197644082536169,0.0118375882886793,0.0275813156287555
"Ishøj",0.00485295544986897,0.00480838582487859,0.0142267747901551,0.00473238370167053,0.0139230519329837,0,0.0268360318454245,0.00440160218319468,0.0174003828084218,0.0348644643946657,0.0304493453390752
"Lyngby-Taarbæk",0,0,0.00187789900659143,0.00185735512630015,0.00368751958994782,0.020081054437913,0.00362996170390402,0.0054308472121651,0.00901355638880877,0.0215092310449901,0.0177891628419967
"Rødovre",0.0082797449838545,0.00547585149490746,0.00813382859311878,0,0.00266297400937367,0.00529899584028827,0.013157202252513,0.00779382728878728,0.0152504892865313,0.00998701687805852,0.0172193250024599
"Vallensbæk",0,0,0,0,0,0.0065772165219679,0.0064855048965562,0,0.0122850122850123,0.0240182538729434,0.00601214453195455
"Allerød",0,0.00830013280212483,0.00415921474025704,0.00830806297511735,0.00413650465356774,0,0.00808668930939673,0.0200465078983241,0.00396275014860313,0.00779848709350386,0.00390122108219873
"Egedal",0.00240888396405945,0.00480607487864661,0.00239114320556658,0.00237993240991956,0.00473821369343757,0.00469781316797031,0.00701377036915811,0.0092846200269254,0.00697674418604651,0.00923041421483789,0.00922636896249481
"Fredensborg",0,0.00508375486134059,0,0.00506816684405251,0.00252620942276115,0.00251433169063663,0.0149581172716394,0.00246889196128777,0.0196179406066848,0.0122491976775521,0.00489416370977609
"Frederikssund",0.00679009551401023,0.0203128173877717,0.00225504566467471,0.00450805815395019,0.0112610076349632,0.0090063720081958,0.00670765790944662,0.00666133759658939,0.0154904954745624,0.0220594723374217,0.0243239059770471
"Furesø",0.00784682988072819,0,0.00261485762100254,0,0.00259794242959576,0,0.00498057575455723,0.00984906310787186,0.00977732150277431,0.00973970634785361,0.00976443305260588
"Gribskov",0.0049147294441441,0.00737100737100737,0,0.00491944410281638,0.0049046054244936,0.00489536164484151,0.0218940813000219,0.0145585130905297,0.0097047334837567,0.00970991625197233,0.0146170337166244
"Halsnæs",0.00965344145187759,0.00965996908809892,0.012911555842479,0.0129857481414148,0,0.00325351379489849,0.00966214692904763,0.0352994031191836,0.0128336755646817,0.0191871062645902,0.0318633698699975
"Helsingør",0.0147195917766547,0.0065180550123843,0.0113834094937635,0.00973820459967864,0.0048765422064728,0.00324506749740395,0.0080525671584101,0.00960876319203113,0.0207382828701783,0.0143845797305289,0.00638009410638807
"Hillerød",0.0294904472015672,0.00626095667417981,0.00829823869883617,0.00827900238021318,0.0102679946606428,0.0122179685590942,0.0201320663552907,0.0139695463888723,0.0177690029615005,0.0117651672614612,0.00586132114178536
"Hørsholm",0,0,0.00410424789657295,0.00814896304445259,0,0,0.00400560785099139,0.00400368338871762,0.00799105002397315,0.0199944015675611,0.00804375804375804
"Rudersdal",0.00367349937550511,0.00182598374874464,0,0.00364783774417714,0.00181705854562634,0,0.00538222788352859,0.00356296652592949,0.00714426047973709,0.00884814808260631,0.00176279791284727
"Bornholm",0.00474450823172178,0.00239223003684034,0.0048422632738542,0.00491219452290311,0.00248663434042024,0.0100431856985036,0.012576717979676,0.0176344627786875,0.0100928542591845,0.030324471848782,0.0101268386541431
"Christiansø",0,0,0,0,0,0,0,0,0,0,0
"Greve",0.0167273031405512,0.0041685772645796,0,0.00416840350145894,0.00623765464185466,0.0102385584109757,0.0100973383416132,0.00600949500210332,0.0160083243286509,0.0119362603696262,0.0257130424462993
"Køge",0.00525164113785558,0,0.00523496257001762,0.00173097228713368,0.0119916401137493,0.00843383655224762,0.0200440970134295,0.0149727994143972,0.0231957054808138,0.00988875154511743,0.00983945292641729
"Lejre",0.0074643576920206,0,0.00371926953546324,0.00743466785621352,0.00741042647004335,0,0.0109821722736757,0.0109481059776659,0.0145222189950624,0.0108010801080108,0.00357193884840692
"Roskilde",0.00854210648345882,0.00969203556977054,0.0048113355064532,0.00837781554443833,0.00712428311901115,0.0117611083668525,0.01391998329602,0.0298799057633741,0.0183104071776796,0.0296881601333683,0.0181996041586096
"Solrød",0.00478881333205632,0.0238504102270559,0,0.00472925041380941,0.00468625521345893,0,0.00458968239397834,0,0.00888178346211919,0.00433557337957945,0
"Faxe",0.00283237976547896,0.00566941633358846,0,0.00284713720354184,0.0113898459523335,0.00568262537292229,0.0112315381591509,0.0194899209266065,0.0332051246575722,0.016432503491907,0.0136701662292213
"Guldborgsund",0.00476856561546287,0.00958726810795264,0.00484550902072263,0.00326147222856397,0.0131132492992607,0.00493185815975933,0.0147591793896259,0.0228545309107531,0.0294026364364005,0.022977186935828,0.0395243898422318
"Holbæk",0.0172537742631201,0.0129457286287597,0.0144061081898725,0.0086626337294082,0.00434681812912948,0.00869124357210111,0.011433144686446,0.0211416490486258,0.0140878801966668,0.0182335862659018,0.0139779986301561
"Kalundborg",0.0142088703948036,0.00407431551499348,0.00411251850633328,0.0124239035905081,0.0144753711898755,0.00206317440013204,0.0041101520756268,0.0205187130663165,0.0204156628965742,0.0246502742343009,0.020645800644149
"Lolland",0.0191554571769113,0.00867471969811976,0.0132623063150682,0.015752993068683,0.00918948722661275,0.0162699888434362,0.0211079318917398,0.0118245240629065,0.0524034109856605,0.0432536345067884,0.0389247050237197
"Næstved",0.00493145280599665,0.00617566048688907,0.00617192514689182,0.00739253107943275,0.00491207387759112,0.00979347999069619,0.0145733647470307,0.0205858490451799,0.0301429983843353,0.0168692990806232,0.0240549414863548
"Odsherred",0.0121102028458977,0.0334906378444208,0.00919117647058824,0.00308147417724639,0.00614741501198746,0.00306138068268789,0.0030472940029254,0.0363383096629622,0.0151135024030469,0.00905742406859489,0.0364110811056832
"Ringsted",0.00613798183157378,0.0182426269382791,0.0120652731276204,0.00301050666827227,0.00899577198716603,0.0059571679623507,0.0117539890100203,0.00583788201640445,0.00870246279697154,0.0115190784737221,0.0114771031791576
"Slagelse",0.0103259115843821,0.0116216006818006,0.0051739749062217,0.0116630165744424,0.00649789468212299,0.0142315604259118,0.0204760685948298,0.010148678134673,0.0240603788876507,0.0214991210653447,0.0202344668850303
"Sorø",0,0.00338994542187871,0.00340217058483312,0.00341436765910953,0.0102392573125363,0.0443217074085439,0,0.0135157965872614,0.026964171357309,0.0268150432392572,0.0100398246377297
"Stevns",0.0136792667913,0.00915122397620682,0,0,0.00458190148911798,0,0.00449236298292902,0.0222301262671172,0.0572006864082369,0.00877886050390659,0.0219250164437623
"Vordingborg",0.00215894125520845,0.00649772579597141,0.00218321543969959,0.0131969646981194,0.00441549839938183,0.0153944272173473,0.0152818408068812,0.0195494927992702,0.0238679020114132,0.0261917234154007,0.030724663126015
"Assens",0.00713368526180625,0.0144109523237661,0,0.014519056261343,0.00243682530399396,0.00730887297178775,0.00242577139530371,0.00724812756704518,0.024196670538134,0.0242647772493449,0.00732332478945441
"Faaborg-Midtfyn",0.00383987712393203,0.0019258175095328,0.00774668345114748,0.00389036939057363,0.0019577900465954,0.00981296488921163,0.00780701069560465,0.0214107754593585,0.00776156473144986,0.027022332027254,0.0213360229653193
"Kerteminde",0.00420698359276399,0,0.0084058336485521,0,0.0042256496936404,0,0,0.0126188272903172,0.00841892574507493,0.00841290539687881,0.00419956324542248
"Langeland",0.0222057735011103,0,0,0,0,0.00790701352099312,0.0239100980314019,0.00795038956908889,0.00791076655327901,0.0159235668789809,0
"Middelfart",0.00796580016462654,0.0185671467600329,0.00797617781559077,0,0.00265357569324665,0.00528303880392001,0.0105504708147601,0.00787546268343265,0.0157026956294164,0.0103753274712733,0.0102952152986899
"Nordfyns",0.00674809366354005,0,0.00681895669962496,0.00342184505885573,0.00344044588178628,0.00688942473303479,0,0.0033960470012905,0.0203279577178479,0.00673559424780251,0.00674195179504467
"Nyborg",0.00315556958030925,0.0158735197942792,0.00635202947341676,0.00318979266347687,0.00638691958868238,0.0285053685110696,0.0156808630747036,0.0155559703814324,0.00624375624375624,0.0187254228824668,0.00624824268174576
"Odense",0.014832315377403,0.0120896738416253,0.00939408172851104,0.00879143610694523,0.00766099582731094,0.0106339882519749,0.0196007478439177,0.0124649112747615,0.0168027358807599,0.0171415697759842,0.0190341394372727
"Svendborg",0.00677989084375741,0.0136256025071109,0.0102474765588974,0.0120076849183477,0.00344952482795495,0.00862247361523074,0.0103043209452497,0.0239275337549137,0.0153327200245324,0.0119455963412345,0.0137230684781117
"Ærø",0.014972301242701,0,0,0,0,0,0,0.0161890885543144,0.0161864681126578,0.0165070980521624,0.0167672702883971
