"kommune","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"København",59.1836734693878,86.6666666666667,79.5918367346939,62.5,51.3888888888889,48.6486486486487,40.650406504065,40.9395973154362,42.8571428571429,39.3939393939394,48.6666666666667
"Frederiksberg",0,25,50,83.3333333333333,50,42.8571428571429,42.8571428571429,66.6666666666667,50,56.25,69.2307692307692
"Dragør",0,0,100,0,NA,NA,NA,NA,NA,0,NA
"Tårnby",100,100,NA,66.6666666666667,100,100,75,33.3333333333333,50,60,83.3333333333333
"Albertslund",100,100,100,NA,0,33.3333333333333,75,50,20,40,100
"Ballerup",100,50,100,100,100,66.6666666666667,75,75,25,72.7272727272727,85.7142857142857
"Brøndby",60,100,100,0,100,100,100,97.0588235294118,50,66.6666666666667,41.6666666666667
"Gentofte",100,28.5714285714286,100,75,100,25,50,25,22.2222222222222,83.3333333333333,62.5
"Gladsaxe",33.3333333333333,100,75,NA,100,100,40,50,55.5555555555556,85.7142857142857,75
"Glostrup",NA,100,100,100,100,66.6666666666667,50,25,0,87.5,83.3333333333333
"Herlev",100,0,NA,66.6666666666667,100,100,100,66.6666666666667,25,71.4285714285714,66.6666666666667
"Hvidovre",100,100,100,25,100,50,80,85.7142857142857,25,50,76.9230769230769
"Høje-Taastrup",83.3333333333333,50,100,100,100,50,85.7142857142857,71.4285714285714,30,83.3333333333333,92.8571428571429
"Ishøj",100,100,100,100,100,NA,83.3333333333333,100,25,50,57.1428571428571
"Lyngby-Taarbæk",NA,NA,0,100,100,72.7272727272727,50,100,40,58.3333333333333,60
"Rødovre",66.6666666666667,50,66.6666666666667,NA,0,100,60,33.3333333333333,50,100,57.1428571428571
"Vallensbæk",NA,NA,NA,NA,NA,100,100,NA,0,75,100
"Allerød",NA,100,100,100,100,NA,100,20,0,100,0
"Egedal",0,100,0,0,100,50,33.3333333333333,50,66.6666666666667,0,100
"Fredensborg",NA,0,NA,0,100,0,66.6666666666667,0,75,60,0
"Frederikssund",100,66.6666666666667,0,50,80,50,66.6666666666667,33.3333333333333,85.7142857142857,50,63.6363636363636
"Furesø",33.3333333333333,NA,100,NA,100,NA,100,25,50,25,75
"Gribskov",50,100,NA,100,100,50,88.8888888888889,66.6666666666667,75,100,33.3333333333333
"Halsnæs",66.6666666666667,100,75,100,NA,100,66.6666666666667,63.6363636363636,25,66.6666666666667,50
"Helsingør",55.5555555555556,100,57.1428571428571,50,100,100,80,16.6666666666667,61.5384615384615,22.2222222222222,0
"Hillerød",85.7142857142857,66.6666666666667,50,100,40,66.6666666666667,60,42.8571428571429,66.6666666666667,16.6666666666667,33.3333333333333
"Hørsholm",NA,NA,100,100,NA,NA,100,0,50,40,100
"Rudersdal",50,100,NA,0,0,NA,66.6666666666667,50,50,40,100
"Bornholm",100,100,100,100,100,75,60,71.4285714285714,100,91.6666666666667,50
"Christiansø",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greve",62.5,100,NA,50,66.6666666666667,80,40,66.6666666666667,37.5,50,61.5384615384615
"Køge",66.6666666666667,NA,66.6666666666667,100,71.4285714285714,80,41.6666666666667,33.3333333333333,50,66.6666666666667,33.3333333333333
"Lejre",100,NA,100,50,50,NA,66.6666666666667,33.3333333333333,50,33.3333333333333,0
"Roskilde",42.8571428571429,37.5,75,85.7142857142857,66.6666666666667,70,25,65.3846153846154,62.5,46.1538461538462,43.75
"Solrød",100,80,NA,100,100,NA,100,NA,100,100,NA
"Faxe",100,0,NA,100,100,0,25,57.1428571428571,58.3333333333333,50,80
"Guldborgsund",66.6666666666667,100,100,50,100,33.3333333333333,77.7777777777778,71.4285714285714,77.7777777777778,64.2857142857143,70.8333333333333
"Holbæk",58.3333333333333,77.7777777777778,80,50,66.6666666666667,83.3333333333333,50,93.3333333333333,70,38.4615384615385,60
"Kalundborg",100,100,100,83.3333333333333,71.4285714285714,100,50,60,50,58.3333333333333,50
"Lolland",66.6666666666667,50,100,85.7142857142857,100,57.1428571428571,55.5555555555556,60,81.8181818181818,72.2222222222222,62.5
"Næstved",100,80,100,50,75,75,75,70.5882352941177,80,64.2857142857143,60
"Odsherred",75,100,100,100,100,100,100,83.3333333333333,40,33.3333333333333,83.3333333333333
"Ringsted",100,100,75,100,33.3333333333333,100,75,100,33.3333333333333,100,25
"Slagelse",62.5,77.7777777777778,75,66.6666666666667,80,45.4545454545455,81.25,87.5,78.9473684210526,76.4705882352941,68.75
"Sorø",NA,100,0,0,100,92.3076923076923,NA,75,62.5,62.5,100
"Stevns",100,100,NA,NA,100,NA,100,40,100,100,20
"Vordingborg",100,100,100,66.6666666666667,100,71.4285714285714,57.1428571428571,55.5555555555556,45.4545454545455,41.6666666666667,71.4285714285714
"Assens",66.6666666666667,83.3333333333333,NA,83.3333333333333,100,33.3333333333333,0,66.6666666666667,70,70,66.6666666666667
"Faaborg-Midtfyn",50,100,100,100,100,60,25,90.9090909090909,50,71.4285714285714,90.9090909090909
