Kommune,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Assens,512.2,512.2,512.2,512.2,511.3,511.4,511.4,511.4,511.38,511.51,511.51,511.5,511.5,511.5,511.6
Faaborg-Midtfyn,637.42,637.42,637.42,637.42,633.6,633.6,633.6,633.6,633.58,633.58,633.63,633.6,633.6,633.6,633.6
Kerteminde,205.85,205.85,205.85,205.85,205.8,205.8,205.8,205.8,205.79,205.79,205.79,205.9,205.9,205.9,206.2
Langeland,291.21,291.21,291.21,291.21,288.8,288.8,288.9,288.9,288.87,289.17,289.17,289.2,289.2,290.3,290.7
Middelfart,299.93,299.93,299.93,299.93,298.8,298.8,298.8,298.8,298.79,298.84,298.84,298.9,298.9,298.9,298.9
Nordfyns,451.57,451.57,451.57,451.57,452.3,452.3,452.3,452.3,452.27,452.27,452.27,452.3,452.3,452.3,452.3
Nyborg,276.24,276.24,276.24,276.24,276.5,276.7,276.8,276.8,276.78,276.78,276.78,276.8,276.8,276.8,276.8
Odense,304.34,304.34,304.34,304.34,305.6,305.6,305.6,305.6,305.61,305.61,305.61,305.6,305.6,305.6,305.6
Svendborg,416.63,416.63,416.63,416.63,415.4,415.4,415.4,415.4,415.4,415.4,415.4,415.4,415.4,415.4,415.4
Ærø,90.45,90.45,90.45,90.45,90.1,90.1,90.1,90.1,90.08,90.09,90.09,90.1,90.1,90.1,90.1
Billund,536.51,536.51,536.51,536.51,540.2,540.2,540.2,540.2,540.2,540.2,540.2,540.2,540.2,540.2,540.2
Esbjerg,742.5,752.67,752.67,752.67,794.4,794.5,794.5,794.5,794.51,794.51,795.0,795.1,795.2,795.3,795.3
Fanø,55.78,55.78,55.78,55.78,54.6,54.6,54.6,54.6,54.55,54.55,57.63,57.6,57.6,57.6,57.6
Fredericia,134.46,134.46,134.46,134.46,133.6,133.6,133.6,133.6,133.62,133.62,133.62,133.6,133.6,133.6,133.6
Haderslev,812.64,812.64,812.64,812.64,816.6,816.6,816.6,816.6,816.8,816.8,816.8,816.8,816.8,816.8,816.8
Kolding,611.57,611.57,611.57,611.57,604.4,604.4,604.4,604.4,604.42,604.42,604.42,604.4,604.4,604.4,604.4
Sønderborg,496.57,496.57,496.57,496.57,496.5,496.5,496.6,496.5,496.59,496.51,496.5,496.5,496.5,496.5,496.5
Tønder,1252.39,1252.39,1252.39,1252.39,1283.8,1283.8,1283.8,1283.8,1283.89,1283.89,1283.89,1283.9,1283.9,1283.9,1283.9
Varde,1255.83,1245.66,1245.66,1245.66,1240.1,1240.1,1240.1,1240.1,1240.11,1240.11,1240.11,1240.1,1240.1,1240.1,1240.1
Vejen,814.36,814.36,814.36,814.36,813.7,813.7,813.7,813.7,813.66,813.66,813.66,813.7,813.7,813.7,813.7
Vejle,1066.17,1066.17,1066.17,1066.17,1058.4,1058.4,1058.4,1058.4,1058.43,1058.43,1058.43,1058.4,1058.5,1058.6,1058.6
Aabenraa,941.55,941.55,941.55,941.55,940.7,940.7,940.7,940.7,940.7,940.7,940.7,940.7,940.7,940.7,940.7
Favrskov,540.86,540.86,540.86,540.86,540.3,540.3,540.3,540.3,540.29,540.29,540.29,540.3,540.3,540.3,540.3
Hedensted,551.54,551.54,551.54,551.54,551.1,551.1,551.1,551.1,551.0,551.01,551.01,551.0,551.0,551.0,551.0
Horsens,515.22,515.22,515.22,515.22,519.3,519.4,519.4,519.4,519.39,519.39,519.4,519.4,519.4,519.4,519.4
Norddjurs,721.19,721.19,721.19,721.19,721.0,721.0,721.0,721.0,720.99,721.0,721.0,721.0,721.0,721.0,721.0
Odder,225.13,225.13,225.13,225.13,223.7,223.7,223.7,223.7,223.73,223.73,223.75,223.7,223.7,223.7,223.7
Randers,746.35,746.35,746.35,746.35,747.8,747.8,747.8,747.8,747.79,747.8,747.8,747.8,747.8,747.8,747.8
Samsø,114.26,114.26,114.26,114.26,113.5,113.5,113.5,113.5,113.54,113.54,113.54,113.6,113.6,113.6,113.6
Silkeborg,864.89,864.89,864.89,864.89,850.3,850.3,850.3,850.3,850.35,850.35,850.35,850.3,850.3,850.4,850.4
Skanderborg,462.45,462.45,462.45,462.45,416.9,416.9,416.9,416.8,416.85,416.85,416.85,416.9,416.9,416.9,416.9
Syddjurs,696.34,696.34,696.34,696.34,689.7,689.7,689.7,689.7,689.75,689.75,689.75,689.8,689.8,689.8,689.8
Aarhus,468.87,468.87,468.87,468.87,467.6,467.6,467.7,467.7,467.85,467.85,467.85,467.9,467.9,468.0,468.1
Herning,1323.5,1323.5,1323.5,1323.5,1321.1,1321.1,1321.1,1321.1,1321.12,1321.12,1321.12,1321.1,1321.1,1321.1,1321.1
Holstebro,800.19,800.19,800.19,800.19,793.0,793.0,793.0,793.0,793.03,793.05,793.05,793.0,793.0,793.0,793.0
Ikast-Brande,736.41,736.41,736.41,736.41,733.5,733.5,733.5,733.5,733.51,733.51,733.51,733.5,733.5,733.5,733.5
Lemvig,508.17,508.17,508.17,508.17,502.7,502.7,508.7,508.7,508.77,508.77,508.78,508.8,508.8,509.1,509.7
Ringkøbing-Skjern,1488.82,1488.82,1488.82,1488.82,1469.5,1469.5,1469.5,1469.5,1469.72,1469.99,1469.99,1470.5,1470.6,1470.7,1473.4
Skive,690.7,690.7,690.7,690.7,683.4,683.4,683.4,683.4,683.42,683.42,683.42,683.4,683.4,683.5,683.5
Struer,250.84,250.84,250.84,250.84,246.2,246.2,246.2,246.2,246.23,246.23,246.21,246.2,246.2,246.2,246.2
Viborg,1418.61,1418.61,1418.61,1418.61,1408.7,1408.8,1408.9,1408.9,1408.89,1408.9,1408.91,1408.9,1408.9,1408.9,1408.9
