Kommune,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Næstved,81112,80963,81012,81163,81432,81687,82342,82581,82938,82991,83143
Odsherred,33030,32845,32640,32452,32534,32665,32816,33023,33083,33122,32957
Ringsted,32584,32890,33153,33217,33349,33573,34031,34259,34473,34725,34852
Slagelse,77475,77442,77310,77167,76948,77293,78140,78828,78968,79073,79073
Sorø,29522,29499,29393,29288,29299,29331,29543,29595,29669,29834,29881
Stevns,21931,21855,21855,21818,21825,22038,22260,22492,22727,22782,22805
Vordingborg,46319,46170,45804,45465,45295,45471,45806,46037,46087,45816,45566
Assens,42054,41635,41443,41325,41037,41046,41224,41390,41328,41212,40965
Faaborg-Midtfyn,52085,51926,51635,51409,51078,50953,51236,51376,51536,51809,51556
Kerteminde,23770,23758,23793,23787,23665,23728,23880,23774,23756,23773,23812
Langeland,13510,13322,13094,12861,12695,12647,12547,12578,12641,12560,12491
Middelfart,37661,37701,37612,37523,37685,37857,37913,38093,38210,38553,38853
Nordfyns,29638,29507,29330,29224,29066,29030,29298,29446,29516,29693,29665
Nyborg,31690,31499,31486,31350,31314,31573,31886,32142,32032,32042,32009
Odense,188777,190245,191610,193370,195797,197480,198972,200563,202348,204182,204895
Svendborg,58998,58713,58551,58296,57979,57988,58228,58510,58698,58599,58296
Ærø,6679,6663,6636,6527,6393,6276,6290,6177,6178,6058,5964
Billund,26160,26155,26220,26357,26318,26285,26434,26481,26482,26629,26608
Esbjerg,115114,115184,115112,115051,115095,115446,115748,115905,116032,115652,115483
Fanø,3219,3213,3251,3237,3264,3263,3290,3345,3401,3404,3488
Fredericia,49849,50104,50193,50374,50324,50429,50689,50868,51326,51427,51377
Haderslev,56346,56117,56188,56051,55906,55888,56029,56045,55963,55857,55670
Kolding,89071,89210,89412,89556,90066,90794,91695,92282,92515,92893,93175
Sønderborg,76439,76193,76094,75732,75264,74937,74737,74801,74650,74561,74220
Tønder,39710,39464,39083,38686,38316,38010,37904,37928,37777,37587,37366
Varde,50378,50351,50193,49969,49958,50122,50289,50452,50301,50129,49961
Vejen,42768,42683,42785,42700,42667,42601,42869,42822,42844,42863,42742
Vejle,106383,107218,108021,108826,109652,110471,111743,113243,114140,114830,115748
Aabenraa,59978,59795,59600,59208,58970,58904,58869,59003,59089,59035,58761
Favrskov,46529,46894,47117,47156,47163,47523,47655,47915,48271,48374,48397
Hedensted,45982,45980,46029,45868,45715,46091,46206,46524,46616,46747,46722
Horsens,81957,82835,83598,84871,85662,86361,87736,89030,89598,90370,90966
Norddjurs,38148,38029,37876,38035,37925,37898,38144,38099,38197,37680,37089
Odder,21721,21852,21749,21800,21773,21928,22131,22331,22626,22675,22844
Randers,94750,95318,95756,96007,96343,96800,97520,98118,98265,97909,97805
Samsø,4010,3885,3889,3806,3767,3733,3710,3724,3720,3684,3657
Silkeborg,88481,88913,89328,89346,89633,90016,90719,91237,92024,93054,94026
Skanderborg,57303,57717,58008,58094,58176,58782,59481,60401,61158,61974,62678
Syddjurs,41392,41734,41815,41894,41719,41652,41889,42021,42468,42768,42962
Aarhus,306650,310956,314545,319094,323893,326246,330639,335684,340421,345332,349983
Herning,85548,85852,86348,86595,86842,86864,87593,88386,88733,88917,89127
Holstebro,57056,57161,57153,57254,57338,57494,57661,58125,58418,58504,58591
Ikast-Brande,40312,40571,40658,40468,40602,40598,40798,40981,41191,41282,41369
Lemvig,21790,21554,21384,21223,20933,20657,20399,20291,20133,19998,19722
Ringkøbing-Skjern,58439,58068,57892,57529,57093,57042,57139,57022,57005,56930,56594
Skive,48137,47986,47620,47291,46942,46641,46639,46540,46599,46224,45851
Struer,22483,22190,22098,21846,21533,21439,21474,21347,21270,21143,21036
Viborg,93310,93498,93819,94333,94486,94985,95776,96477,96883,97113,96921
Brønderslev,35804,35789,35754,35600,35627,35781,36047,36128,36289,36370,36304
Frederikshavn,62007,61576,61158,60775,60458,60377,60246,60356,60140,59987,59654
Hjørring,66803,66473,66178,65767,65405,65295,65411,65307,65257,64665,64483
Jammerbugt,38927,38733,38611,38597,38351,38293,38466,38581,38638,38460,38324
Læsø,1969,1949,1897,1839,1808,1795,1817,1793,1807,1806,1786
Mariagerfjord,42604,42572,42429,42111,42093,42134,42131,42066,42125,42055,41800
Morsø,21833,21600,21474,21189,21003,20816,20629,20665,20514,20403,20247
Rebild,28852,28940,28911,28866,28794,28859,29149,29391,29827,29916,30113
Thisted,45297,45145,44908,44494,44230,44078,43991,43826,43716,43660,43423
Vesthimmerlands,38106,37864,37534,37586,37479,37399,37296,37285,37277,37121,36727
Aalborg,197426,199188,201142,203448,205809,207805,210316,211937,213558,215312,217075
