"","Municipalities","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020"
"1","København",0.549026141217096,0.481890195758625,0.710317821692014,0.446875446875447,0.649627693101832,0.620492809177778,0.845335691256355,1.0124800616119,1.07616649926299,0.834130034455987,1.15444223044565
"2","Frederiksberg",0,0.101233018161203,0.199570922516589,0.490056748571485,0.292064604690558,0.29072021086906,0.574267091624314,0.57122728181498,0.383105066564505,0.865717583686033,1.72570825943147
"3","Dragør",0,0,0.730353491089687,0,0,0,0,0,0,0,0
"4","Tårnby",0.247628952777159,0.244887963756581,0,0.481093043394592,0.476281196418365,0.469781316797031,0.699953336444237,0.232504068821204,0.928871653159325,0.697934115019542,1.16308823187327
"5","Albertslund",1.08186080057699,1.07913669064748,0.358886017800747,0,0,0.359634611234985,1.07604017216643,0.71694866647548,0.360451285008831,0.717437313914697,2.88485810104216
"6","Ballerup",0.2098547804919,0.208637596494888,0.833437513022461,1.45195079961005,0.41225213340479,0.413607693103092,0.622096881220969,1.24401318653978,0.414121544673362,1.65091419373478,2.46903419612362
"7","Brøndby",0.887705281846427,0.293936098292231,0.293392794272973,0,0.289184499710816,0.285306704707561,0.283109676688749,9.2712254874417,1.40694467893522,1.13003926886459,1.42490738102023
"8","Gentofte",0.281483983561335,0.278885573249296,0.274672453099679,0.408942202835333,0.134622115721171,0.133454331927614,0.26542800265428,0.131917419695271,0.263841800456446,0.665105884856869,0.668181210744354
"9","Gladsaxe",0.156001372812081,0.153962217671783,0.459396964917385,0,0.150024003840614,0.445454140496236,0.294490090408458,0.145401672119229,0.719590121466813,0.861066861841822,0.866275879991915
"10","Glostrup",0,0.467639356528245,0.46189376443418,1.82907311719786,0.45318589685489,0.894574406226238,0.890432304884021,0.443892045454545,0,3.09529073623701,2.16188170183328
"11","Herlev",1.12968820605513,0,0,0.741894799317457,0.360932649967516,1.06579508313202,1.40731098054393,1.40815320706893,0.349993000139997,1.73695546446189,0.690774703830346
"12","Hvidovre",0.804440511624165,0.399353048062139,0.395256916996047,0.194776104867455,0.385787585355503,0.190912562046583,1.5142624595408,1.13284495128767,0.375361285237041,0.748839299086416,1.86821604050292
"13","Høje-Taastrup",1.04900973481034,0.209410927062174,0.207982363095609,1.23785356192362,0.204888643022517,0.812512695510867,1.20096076861489,0.995104087887593,0.592932247608507,0.986465690723277,2.5611221655273
"14","Ishøj",0.485295544986897,0.480838582487859,1.42267747901551,0.473238370167053,1.39230519329837,0,2.2363359871187,0.440160218319468,0.435009570210545,1.74322321973329,1.7399625908043
"15","Lyngby-Taarbæk",0,0,0,0.185735512630015,0.368751958994782,1.46044032275731,0.181498085195201,0.54308472121651,0.360542255552351,1.25470514429109,1.0673497705198
"16","Rødovre",0.551982998923633,0.273792574745373,0.542255239541252,0,0,0.529899584028827,0.789432135150782,0.259794242959576,0.762524464326564,0.998701687805852,0.983961428711994
"17","Vallensbæk",0,0,0,0,0,0.65772165219679,0.64855048965562,0,0,1.80136904047076,0.601214453195455
"18","Allerød",0,0.830013280212483,0.415921474025704,0.830806297511735,0.413650465356774,0,0.808668930939673,0.400930157966482,0,0.779848709350386,0
"19","Egedal",0,0.480607487864661,0,0,0.473821369343757,0.234890658398516,0.233792345638604,0.46423100134627,0.465116279069767,0,0.922636896249481
"20","Fredensborg",0,0,0,0,0.252620942276115,0,0.997207818109294,0,1.47134554550136,0.734951860653127,0
"21","Frederikssund",0.679009551401023,1.35418782585145,0,0.225402907697509,0.900880610797054,0.45031860040979,0.447177193963108,0.22204458655298,1.32775675496249,1.10297361687108,1.54788492581209
"22","Furesø",0.261560996024273,0,0.261485762100254,0,0.259794242959576,0,0.498057575455723,0.246226577696797,0.488866075138716,0.24349265869634,0.732332478945441
"23","Gribskov",0.245736472207205,0.737100737100737,0,0.491944410281638,0.49046054244936,0.244768082242076,1.94614056000195,0.970567539368646,0.727855011281753,0.970991625197233,0.487234457220815
"24","Halsnæs",0.643562763458506,0.965996908809892,0.968366688185926,1.29857481414148,0,0.325351379489849,0.644143128603176,2.24632565303896,0.320841889117043,1.27914041763935,1.59316849349987
"25","Helsingør",0.81775509870304,0.65180550123843,0.650480542500772,0.486910229983932,0.48765422064728,0.324506749740395,0.644205372672808,0.160146053200519,1.27620202278021,0.319657327345086,0
"26","Hillerød",2.52775261727719,0.417397111611988,0.414911934941809,0.827900238021318,0.410719786425711,0.814531237272949,1.20792398131744,0.598694845237382,1.18460019743337,0.196086121024354,0.195377371392845
"27","Hørsholm",0,0,0.410424789657295,0.814896304445259,0,0,0.400560785099139,0,0.399552501198657,0.799776062702443,0.804375804375804
"28","Rudersdal",0.183674968775255,0.182598374874464,0,0,0,0,0.358815192235239,0.178148326296474,0.357213023986855,0.353925923304252,0.176279791284727
"29","Bornholm",0.474450823172178,0.239223003684034,0.48422632738542,0.491219452290311,0.248663434042024,0.753238927387767,0.754603078780561,1.25960448419196,1.00928542591845,2.77974325280501,0.506341932707157
"30","Christiansø",0,0,0,0,0,0,0,0,0,0,0
"31","Greve",1.04545644628445,0.41685772645796,0,0.208420175072947,0.415843642790311,0.819084672878059,0.403893533664526,0.400633000140222,0.600312162324409,0.59681301848131,1.58234107361842
"32","Køge",0.350109409190372,0,0.348997504667842,0.173097228713368,0.856545722410662,0.674706924179809,0.835170708892898,0.499093313813239,1.15978527404069,0.659250103007828,0.32798176421391
"33","Lejre",0.74643576920206,0,0.371926953546324,0.371733392810676,0.370521323502168,0,0.732144818245049,0.364936865922195,0.726110949753122,0.36003600360036,0
"34","Roskilde",0.366090277862521,0.363451333866395,0.36085016298399,0.718098475237571,0.474952207934077,0.823277585679674,0.347999582400501,1.95368614606677,1.14440044860498,1.37022277538623,0.796232681939168
