"","Municipalities","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020"
"1","København",59.1836734693878,86.6666666666667,79.5918367346939,62.5,51.3888888888889,48.6486486486487,40.650406504065,40.9395973154362,42.8571428571429,39.3939393939394,48.6666666666667
"2","Frederiksberg",0,25,50,83.3333333333333,50,42.8571428571429,42.8571428571429,66.6666666666667,50,56.25,69.2307692307692
"3","Dragør",0,0,100,0,NA,NA,NA,NA,NA,0,NA
"4","Tårnby",100,100,NA,66.6666666666667,100,100,75,33.3333333333333,50,60,83.3333333333333
"5","Albertslund",100,100,100,NA,0,33.3333333333333,75,50,20,40,100
"6","Ballerup",100,50,100,100,100,66.6666666666667,75,75,25,72.7272727272727,85.7142857142857
"7","Brøndby",60,100,100,0,100,100,100,97.0588235294118,50,66.6666666666667,41.6666666666667
"8","Gentofte",100,28.5714285714286,100,75,100,25,50,25,22.2222222222222,83.3333333333333,62.5
"9","Gladsaxe",33.3333333333333,100,75,NA,100,100,40,50,55.5555555555556,85.7142857142857,75
"10","Glostrup",NA,100,100,100,100,66.6666666666667,50,25,0,87.5,83.3333333333333
"11","Herlev",100,0,NA,66.6666666666667,100,100,100,66.6666666666667,25,71.4285714285714,66.6666666666667
"12","Hvidovre",100,100,100,25,100,50,80,85.7142857142857,25,50,76.9230769230769
"13","Høje-Taastrup",83.3333333333333,50,100,100,100,50,85.7142857142857,71.4285714285714,30,83.3333333333333,92.8571428571429
"14","Ishøj",100,100,100,100,100,NA,83.3333333333333,100,25,50,57.1428571428571
"15","Lyngby-Taarbæk",NA,NA,0,100,100,72.7272727272727,50,100,40,58.3333333333333,60
"16","Rødovre",66.6666666666667,50,66.6666666666667,NA,0,100,60,33.3333333333333,50,100,57.1428571428571
"17","Vallensbæk",NA,NA,NA,NA,NA,100,100,NA,0,75,100
"18","Allerød",NA,100,100,100,100,NA,100,20,0,100,0
"19","Egedal",0,100,0,0,100,50,33.3333333333333,50,66.6666666666667,0,100
"20","Fredensborg",NA,0,NA,0,100,0,66.6666666666667,0,75,60,0
"21","Frederikssund",100,66.6666666666667,0,50,80,50,66.6666666666667,33.3333333333333,85.7142857142857,50,63.6363636363636
"22","Furesø",33.3333333333333,NA,100,NA,100,NA,100,25,50,25,75
"23","Gribskov",50,100,NA,100,100,50,88.8888888888889,66.6666666666667,75,100,33.3333333333333
"24","Halsnæs",66.6666666666667,100,75,100,NA,100,66.6666666666667,63.6363636363636,25,66.6666666666667,50
"25","Helsingør",55.5555555555556,100,57.1428571428571,50,100,100,80,16.6666666666667,61.5384615384615,22.2222222222222,0
"26","Hillerød",85.7142857142857,66.6666666666667,50,100,40,66.6666666666667,60,42.8571428571429,66.6666666666667,16.6666666666667,33.3333333333333
"27","Hørsholm",NA,NA,100,100,NA,NA,100,0,50,40,100
"28","Rudersdal",50,100,NA,0,0,NA,66.6666666666667,50,50,40,100
"29","Bornholm",100,100,100,100,100,75,60,71.4285714285714,100,91.6666666666667,50
"30","Christiansø",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Greve",62.5,100,NA,50,66.6666666666667,80,40,66.6666666666667,37.5,50,61.5384615384615
"32","Køge",66.6666666666667,NA,66.6666666666667,100,71.4285714285714,80,41.6666666666667,33.3333333333333,50,66.6666666666667,33.3333333333333
"33","Lejre",100,NA,100,50,50,NA,66.6666666666667,33.3333333333333,50,33.3333333333333,0
"34","Roskilde",42.8571428571429,37.5,75,85.7142857142857,66.6666666666667,70,25,65.3846153846154,62.5,46.1538461538462,43.75
"35","Solrød",100,80,NA,100,100,NA,100,NA,100,100,NA
"36","Faxe",100,0,NA,100,100,0,25,57.1428571428571,58.3333333333333,50,80
"37","Guldborgsund",66.6666666666667,100,100,50,100,33.3333333333333,77.7777777777778,71.4285714285714,77.7777777777778,64.2857142857143,70.8333333333333
"38","Holbæk",58.3333333333333,77.7777777777778,80,50,66.6666666666667,83.3333333333333,50,93.3333333333333,70,38.4615384615385,60
"39","Kalundborg",100,100,100,83.3333333333333,71.4285714285714,100,50,60,50,58.3333333333333,50
"40","Lolland",66.6666666666667,50,100,85.7142857142857,100,57.1428571428571,55.5555555555556,60,81.8181818181818,72.2222222222222,62.5
"41","Næstved",100,80,100,50,75,75,75,70.5882352941177,80,64.2857142857143,60
"42","Odsherred",75,100,100,100,100,100,100,83.3333333333333,40,33.3333333333333,83.3333333333333
"43","Ringsted",100,100,75,100,33.3333333333333,100,75,100,33.3333333333333,100,25
"44","Slagelse",62.5,77.7777777777778,75,66.6666666666667,80,45.4545454545455,81.25,87.5,78.9473684210526,76.4705882352941,68.75
"45","Sorø",NA,100,0,0,100,92.3076923076923,NA,75,62.5,62.5,100
"46","Stevns",100,100,NA,NA,100,NA,100,40,100,100,20
"47","Vordingborg",100,100,100,66.6666666666667,100,71.4285714285714,57.1428571428571,55.5555555555556,45.4545454545455,41.6666666666667,71.4285714285714
"48","Assens",66.6666666666667,83.3333333333333,NA,83.3333333333333,100,33.3333333333333,0,66.6666666666667,70,70,66.6666666666667
"49","Faaborg-Midtfyn",50,100,100,100,100,60,25,90.9090909090909,50,71.4285714285714,90.9090909090909
"50","Kerteminde",100,NA,50,NA,100,NA,NA,33.3333333333333,100,100,0
"51","Langeland",100,NA,NA,NA,NA,0,100,0,0,100,NA
"52","Middelfart",100,71.4285714285714,100,NA,100,100,100,66.6666666666667,83.3333333333333,75,75
"53","Nordfyns",50,NA,50,100,100,100,NA,100,50,0,50
"54","Nyborg",100,60,50,100,50,88.8888888888889,20,80,100,66.6666666666667,50
"55","Odense",67.8571428571429,91.304347826087,72.2222222222222,82.3529411764706,93.3333333333333,76.1904761904762,56.4102564102564,60,61.7647058823529,65.7142857142857,69.2307692307692
"56","Svendborg",25,75,66.6666666666667,85.7142857142857,100,80,83.3333333333333,85.7142857142857,88.8888888888889,85.7142857142857,87.5
"57","Ærø",100,NA,NA,NA,NA,NA,NA,100,100,0,0
"58","Billund",33.3333333333333,100,NA,NA,100,0,80,0,20,33.3333333333333,100
"59","Esbjerg",57.1428571428571,87.5,78.5714285714286,75,100,88.8888888888889,50,57.6923076923077,57.5757575757576,58.0645161290323,58.8235294117647
"60","Fanø",NA,100,NA,NA,0,NA,100,NA,NA,0,NA
"61","Fredericia",75,100,100,50,100,80,66.6666666666667,55.5555555555556,80,53.8461538461538,92.3076923076923
"62","Haderslev",100,40,50,57.1428571428571,100,100,100,66.6666666666667,72.7272727272727,62.5,54.5454545454545
"63","Kolding",57.1428571428571,42.8571428571429,100,83.3333333333333,66.6666666666667,60,52.1739130434783,41.6666666666667,73.3333333333333,57.1428571428571,47.3684210526316
"64","Sønderborg",85.7142857142857,66.6666666666667,84.6153846153846,100,80,87.5,70,75,72.7272727272727,65,58.8235294117647
"65","Tønder",100,75,66.6666666666667,100,66.6666666666667,33.3333333333333,66.6666666666667,55.5555555555556,100,88.8888888888889,78.5714285714286
"66","Varde",66.6666666666667,50,NA,50,50,85.7142857142857,75,66.6666666666667,75,80.7692307692308,81.8181818181818
"67","Vejen",100,100,100,100,100,100,75,33.3333333333333,73.3333333333333,54.5454545454545,72.7272727272727
"68","Vejle",100,70,81.8181818181818,75,83.3333333333333,85.7142857142857,66.6666666666667,72.7272727272727,50,56.5217391304348,66.6666666666667
"69","Aabenraa",33.3333333333333,70,85.7142857142857,100,66.6666666666667,100,100,64.7058823529412,33.3333333333333,80,28.5714285714286
"70","Favrskov",50,0,NA,100,80,100,25,33.3333333333333,71.4285714285714,87.5,66.6666666666667
"71","Hedensted",50,100,100,100,100,NA,75,60,87.5,50,71.4285714285714
"72","Horsens",57.1428571428571,100,60,66.6666666666667,100,50,37.5,40,73.3333333333333,66.6666666666667,81.8181818181818
"73","Norddjurs",0,100,100,100,100,NA,60,75,85.7142857142857,81.8181818181818,16.6666666666667
"74","Odder",NA,0,100,NA,NA,100,50,25,0,100,0
"75","Randers",100,62.5,60,100,100,62.5,72.7272727272727,46.1538461538462,78.5714285714286,52.6315789473684,76.4705882352941
"76","Samsø",100,NA,NA,NA,NA,NA,50,50,0,100,0
"77","Silkeborg",50,100,83.3333333333333,33.3333333333333,66.6666666666667,62.5,60,60,50,66.6666666666667,58.3333333333333
"78","Skanderborg",50,100,100,NA,50,100,0,60,42.8571428571429,62.5,66.6666666666667
"79","Syddjurs",100,0,50,100,NA,100,66.6666666666667,25,40,77.7777777777778,25
"80","Aarhus",56.25,72.7272727272727,60,58.3333333333333,76.4705882352941,56.5217391304348,53.0612244897959,52.6315789473684,31.9148936170213,54.1666666666667,65.3061224489796
"81","Herning",66.6666666666667,76.9230769230769,76.9230769230769,100,100,75,45,33.3333333333333,56.5217391304348,41.6666666666667,53.8461538461538
"82","Holstebro",60,75,33.3333333333333,66.6666666666667,100,87.5,90,25,45.4545454545455,63.6363636363636,68.75
"83","Ikast-Brande",50,83.3333333333333,100,75,100,100,50,60,100,83.3333333333333,87.5
"84","Lemvig",50,NA,100,100,100,NA,100,NA,0,100,0
"85","Ringkøbing-Skjern",88.8888888888889,71.4285714285714,50,75,33.3333333333333,50,80,100,66.6666666666667,85.7142857142857,70
"86","Skive",66.6666666666667,33.3333333333333,100,77.7777777777778,50,100,45.4545454545455,16.6666666666667,85.7142857142857,84.6153846153846,100
"87","Struer",100,33.3333333333333,50,0,NA,NA,100,80,100,100,100
"88","Viborg",57.1428571428571,100,88.8888888888889,100,100,60,40,42.8571428571429,61.5384615384615,60,80.9523809523809
"89","Brønderslev",50,100,83.3333333333333,100,100,87.5,80,100,100,33.3333333333333,50
"90","Frederikshavn",75,50,100,100,50,66.6666666666667,75,65,58.3333333333333,80,0
"91","Hjørring",60,0,100,100,66.6666666666667,83.3333333333333,33.3333333333333,66.6666666666667,66.6666666666667,77.7777777777778,82.3529411764706
"92","Jammerbugt",100,100,50,100,100,100,100,100,75,20,100
"93","Læsø",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Mariagerfjord",100,100,50,100,0,75,100,57.1428571428571,50,50,100
"95","Morsø",0,66.6666666666667,100,66.6666666666667,50,50,0,75,NA,50,50
"96","Rebild",NA,100,100,100,100,NA,0,NA,NA,100,66.6666666666667
"97","Thisted",66.6666666666667,66.6666666666667,100,33.3333333333333,75,100,25,100,100,60,100
"98","Vesthimmerlands",75,100,100,100,100,100,60,66.6666666666667,66.6666666666667,100,75
"99","Aalborg",61.1111111111111,88,62.962962962963,75,70.8333333333333,56.5217391304348,33.3333333333333,54.7619047619048,59.5744680851064,64.7058823529412,63.4146341463415
"100","total_charged_rapes",67.8571428571429,75,76.4550264550265,74.9303621169916,75,67.8723404255319,56.7917205692109,57.9408543263965,57.7519379844961,60.2624179943768,64.6900269541779
