"","lat","lon"
"185",55.1780155,11.6468481
"186",54.85566545,11.8819052598183
"187",55.2328252,11.7674102
"188",55.650812,11.2867244
"189",55.4061196,11.3525415
"190",55.4061196,11.3525415
"191",54.9863794,12.2861344
"192",54.8124093,11.2709858
"193",55.4061196,11.3525415
"194",54.8124093,11.2709858
"195",55.7186117,11.7135474
"196",54.7646137,11.8709918
"197",55.7200463,11.4613759
"198",55.0102518,11.9097478
"199",54.7646137,11.8709918
"200",54.8304979,11.1493517
"201",55.4592469,12.0283637
"202",54.89846865,11.8733567968543
"203",55.53936625,11.593926315404
"204",55.1178943,12.0538374
"205",54.70862675,11.9254088479669
"206",55.4565009,12.1818964
"207",55.4565009,12.1818964
"208",55.4565009,12.1818964
"209",55.446817,11.7975218
"210",55.4365822,11.5629363
"211",55.6433478,12.0819247
"212",54.9863794,12.2861344
"213",55.3135052,11.752538
"214",55.286055,11.814786
"215",55.2328252,11.7674102
"216",55.6433478,12.0819247
"217",55.613063,11.7438673
"218",55.7186117,11.7135474
"219",41.1858702530571,-7.98776990968148
"220",55.4061196,11.3525415
"221",54.9863794,12.2861344
"222",55.2328252,11.7674102
"223",54.7646137,11.8709918
"224",55.0102518,11.9097478
"225",55.6833793,11.0993619
"226",55.2328252,11.7674102
"227",54.8304979,11.1493517
"228",55.5833746,12.2999286
"229",55.9233493,11.6689532
"230",54.8010004,11.6418000970077
"231",55.9233493,11.6689532
"232",54.96935985,11.541101239702
"233",55.6433478,12.0819247
"234",54.9863794,12.2861344
"235",55.4565009,12.1818964
"236",55.5404225,11.2272253
"237",55.5289218,11.4943548
"238",55.446817,11.7975218
"239",55.2328252,11.7674102
"240",55.4565009,12.1818964
"241",55.6433478,12.0819247
"242",54.8010004,11.6418000970077
"243",55.5320724179675,12.2131254061856
"244",55.0102518,11.9097478
"245",54.8869284,12.0373630293874
"246",55.6433478,12.0819247
"247",55.41119725,12.1429376107222
"248",55.6833793,11.0993619
"249",55.4365822,11.5629363
"250",55.2328252,11.7674102
"251",55.5320724179675,12.2131254061856
"252",54.7758018,11.5054333
"253",55.650812,11.2867244
"254",55.3266045,11.1425876
"255",55.1178943,12.0538374
"256",55.5084661,11.2927612
"257",54.9863794,12.2861344
"258",54.8304979,11.1493517
"259",55.5320724179675,12.2131254061856
"260",55.047753,12.0556228727188
"261",55.4365822,11.5629363
"262",55.4565009,12.1818964
"263",55.4565009,12.1818964
"264",55.6433478,12.0819247
"265",55.4061196,11.3525415
"266",55.2328252,11.7674102
"267",54.8304979,11.1493517
"268",55.25592915,12.1119358544833
"269",55.4365822,11.5629363
"270",55.2328252,11.7674102
"271",55.6433478,12.0819247
"272",55.7186117,11.7135474
"273",55.0102518,11.9097478
"274",55.6433478,12.0819247
"275",55.4365822,11.5629363
"276",55.2328252,11.7674102
"277",55.6433478,12.0819247
"278",54.9112213,11.2188932
"279",55.6433478,12.0819247
"280",55.613063,11.7438673
"281",55.2521101,11.2942011
"282",55.4061196,11.3525415
"283",55.3266045,11.1425876
"284",55.6833793,11.0993619
"285",55.4061196,11.3525415
"286",55.9233493,11.6689532
"287",54.7646137,11.8709918
"288",55.4061196,11.3525415
"289",55.446817,11.7975218
"290",54.7758018,11.5054333
"291",54.7646137,11.8709918
"292",55.3271115,11.9567297
"293",55.2328252,11.7674102
"294",55.9233493,11.6689532
"295",55.3833436,12.282865
"296",55.4565009,12.1818964
"297",54.70862675,11.9254088479669
"298",55.3266045,11.1425876
"299",55.5320724179675,12.2131254061856
"300",54.6940639,11.3902205
"301",55.6433478,12.0819247
"302",55.8148175,11.5006395
"303",55.0102518,11.9097478
"304",55.88706215,11.1464025977838
"305",55.446817,11.7975218
"306",55.2328252,11.7674102
"307",55.4061196,11.3525415
"308",54.89846865,11.8733567968543
"309",54.6940639,11.3902205
"310",55.4061196,11.3525415
"311",55.4061196,11.3525415
"312",55.5320724179675,12.2131254061856
"313",41.3304736,-8.7390221
"314",55.4061196,11.3525415
"315",55.6433478,12.0819247
